iso3,un_name,wb_region,wb_income_group,feasibility_flag,current_total,target_balanced,target_equity,target_efficiency,wap,delta_balanced,delta_equity,delta_efficiency,pct_change_balanced,unemp_rate_filled,mfg_target_unemp_leveling,unemp_rate_2050_unemp_lev_pct,baseline_unemp_2050_K,labor_force_2050_K,total_emp_2050_K,delta_unemp_leveling,mfg_target_informal_insertion,unemp_rate_2050_ii_pct,mfg_employment_informal_thousands,informal_share,informal_share_after,informal_formalized,demand_unemp,demand_informal,effective_demand,delta_informal_insertion
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,severe_conflict,491.404,893.3425500986109,1273.8719220453968,470.9410745502581,15587.748,401.93855009861096,782.4679220453968,-20.462925449741817,82.0,5.679,483.1246970630353,5.730977872741278,904.580331962692,15928.514385678676,15023.934053715984,-8.279302936964712,595.80425,5.023570074319882,417.601,0.8498119673425532,0.5256772673239575,104.40025,0.0,104.40025,104.40025,104.40025000000003
AGO,Angola,Sub-Saharan Africa,Lower middle income,below_average,471.43500000000006,1517.2472728541284,1858.9524591391928,1099.1173468770776,19443.76,1045.8122728541284,1387.5174591391924,627.6823468770775,222.0,10.923,764.1207616100742,9.999999999999975,3463.712431275013,31710.26669664941,28246.554265374405,292.6857616100741,764.1207616100742,9.999999999999975,420.392,0.8917284461272498,0.4126232604067005,105.098,292.6857616100741,105.098,292.6857616100741,292.6857616100741
ALB,Albania,Europe & Central Asia,Upper middle income,stable,119.31799999999998,161.45422624654498,173.55880529217035,141.59564996941265,1543.171,42.13622624654499,54.24080529217037,22.277649969412664,35.0,8.431,117.30769917250824,8.643621747957377,79.71360615462743,945.4822222112136,865.7686160565862,-2.010300827491747,101.059209214961,10.36216172426139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.258790785038983
AND,Andorra,Europe & Central Asia,High income,stable,4.224932733821807,6.159527594315305,6.229151249993873,6.063133010367952,51.576,1.9345948604934984,2.004218516172066,1.8382002765461447,46.0,5.7,4.153749963653861,5.889479667327016,2.1413473840285207,37.567497965412585,35.426150581384064,-0.0711827701679457,3.578406955081674,7.420971088719767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6465257787401328
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,stable,923.183,1576.3666906645376,1534.1799957441367,1540.9937731198438,11338.935,653.1836906645376,610.9969957441367,617.8107731198438,71.0,1.875,907.6289716989364,2.038327308067104,178.56048329966143,9523.225775981911,9344.66529268225,-15.554028301063568,781.9117311779895,3.358439247847144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141.27126882201048
ARG,Argentina,Latin America & Caribbean,Upper middle income,below_average,1410.892,2089.897372406409,2204.131275836971,1949.7289076903744,19324.59,679.0053724064089,793.2392758369708,538.8369076903743,48.0,1.694,1387.1209230870322,1.8682904150520387,231.04084225484985,13638.77463133708,13407.73378908223,-23.77107691296783,1582.425,0.436313700192129,686.132,0.4863107877853159,0.3251964548082848,171.5329999999999,0.0,171.533,171.533,171.5329999999999
ARM,Armenia,Europe & Central Asia,Upper middle income,below_average,106.207,153.98906206479975,176.7451181438318,117.34605481519526,1685.804,47.78206206479976,70.53811814383181,11.139054815195266,45.0,8.298,104.41759672484103,8.472517241828188,85.08310251595492,1025.3446916842,940.261589168245,-1.7894032751589606,124.682,6.496166904277474,73.9,0.6958110105736911,0.4445308865754481,18.474999999999994,0.0,18.475,18.475,18.47500000000001
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,stable,1.9659999999999984,7.211575868062872,7.455338343568362,6.893319624491592,63.837,5.245575868062874,5.489338343568363,4.927319624491593,267.0,8.78,1.9328763185198463,8.844417559782528,4.514699476005433,51.42026738047187,46.90556790446644,-0.0331236814801521,2.1477499999999985,8.42654014990785,0.727,0.3697863682604272,0.2538703294145037,0.18175,0.0,0.18175,0.18175,0.18175000000000008
AUS,Australia,East Asia & Pacific,High income,stable,959.068,2364.160518730582,2313.577489768906,2371.999168245029,17685.85,1405.092518730582,1354.509489768906,1412.9311682450289,147.0,3.942,942.909371846487,4.040101234547651,649.3018408469088,16471.381046344744,15822.079205497836,-16.15862815351295,812.3053827869578,4.833015858355181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-146.76261721304218
AUT,Austria,Europe & Central Asia,High income,stable,667.1699999999998,850.5889808489563,813.3266323943163,866.5481881222333,5934.272,183.4189808489565,146.1566323943165,199.3781881222335,27.0,5.778,655.929345588447,6.043983569423921,244.18238062830187,4226.070969683325,3981.888589055023,-11.240654411552896,670.2834999999999,5.704326367390979,12.454,0.0186669064856033,0.0139351483364874,3.1135,0.0,3.1135,3.1135,3.1135000000000446
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,below_average,276.265,788.3964061846774,817.7285321952492,736.5778755255424,6928.566,512.1314061846774,541.4635321952492,460.3128755255424,185.0,5.7,271.61041512506904,5.789416701885494,296.7134017208391,5205.498275804191,4908.784874083352,-4.654584874930947,233.9891921903753,6.512137581643769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.275807809624695
BDI,Burundi,Sub-Saharan Africa,Low income,fragile,62.846,470.2983542765388,564.5389371678035,378.7755769864114,5989.73,407.4523542765388,501.6929371678035,315.9295769864114,648.0,1.03,61.78715417787302,1.0412281378395771,97.13197436413977,9430.288773217391,9333.156798853252,-1.058845822126976,78.55749999999999,0.8633932249813977,62.846,1.0,0.6000000000000001,15.711499999999994,0.0,15.7115,15.7115,15.711499999999994
BEL,Belgium,Europe & Central Asia,High income,stable,583.5,1002.7541693481556,976.6604945442618,1017.23952768379,7480.5,419.25416934815553,393.1604945442618,433.73952768379,72.0,6.2,573.6690396013893,6.3923780682872415,316.8342161559667,5110.229292838173,4793.395076682206,-9.830960398610728,585.365,6.1635045730215365,7.46,0.0127849185946872,0.0095581389389526,1.865,0.0,1.865,1.865,1.865000000000009
BEN,Benin,Sub-Saharan Africa,Lower middle income,below_average,774.463,712.4924347621776,745.8535797147973,719.0051807556264,6849.505,-61.97056523782237,-28.60942028520265,-55.45781924437358,-8.0,1.685,761.4146451016464,1.8135532641745005,171.0301029297916,10150.154476545522,9979.12437361573,-13.048354898353525,964.79675,-0.1901808205462694,761.335,0.983048899689204,0.59183579339379,190.33375,0.0,190.33375,190.33375,190.33375
BFA,Burkina Faso,Sub-Saharan Africa,Low income,severe_conflict,775.183,849.3345598364851,1031.7930534032005,618.4321650683023,10779.603,74.15155983648515,256.6100534032005,-156.75083493169768,10.0,3.441,762.1225143535968,3.533614617837893,485.248788565279,14101.97002514615,13616.721236580872,-13.060485646403208,962.719,2.1111432518606104,750.144,0.967699240050414,0.5843948234116081,187.536,0.0,187.536,187.536,187.53600000000006
