iso3,un_name,wb_region,wb_income_group,balanced_2032,balanced_2036,balanced_2041,balanced_2046,balanced_2051,balanced_2056,balanced_2061,balanced_t1_delta,balanced_t2_delta,balanced_t3_delta,balanced_t4_delta,balanced_t5_delta,balanced_total_delta,informal_insertion_2032,informal_insertion_2036,informal_insertion_2041,informal_insertion_2046,informal_insertion_2051,informal_insertion_2056,informal_insertion_2061,informal_insertion_t1_delta,informal_insertion_t2_delta,informal_insertion_t3_delta,informal_insertion_t4_delta,informal_insertion_t5_delta,informal_insertion_total_delta
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,491.404,491.404,499.0057996661109,551.061001828249,654.6502489809858,742.199531401544,893.3425500986109,7.601799666110878,52.05520216213813,103.58924715273679,87.54928242055826,151.14301869706685,401.9385500986109,491.404,491.404,515.4716115796501,538.9253775914237,560.8389550442032,572.2111513462114,581.4171153662444,24.067611579650134,23.45376601177361,21.913577452779464,11.372196302008206,9.20596402003298,90.01311536624439
AGO,Angola,Sub-Saharan Africa,Lower middle income,471.43500000000006,471.43500000000006,497.41722716454217,805.2062506000389,1113.1656330500768,1213.8480391142557,1517.2472728541284,25.98222716454211,307.7890234354967,307.959382450038,100.68240606417885,303.39923373987267,1045.8122728541284,471.43500000000006,471.43500000000006,524.7487479414549,578.8042214121074,635.2108959653782,691.7815964447121,740.5486639305262,53.313747941454835,54.05547347065249,56.40667455327082,56.57070047933394,48.767067485814096,269.1136639305262
ALB,Albania,Europe & Central Asia,Upper middle income,119.31799999999998,119.31799999999998,121.86315929874844,118.26856520345868,143.12595975632505,137.98432901914478,161.45422624654498,2.545159298748459,-3.5945940952897644,24.857394552866367,-5.1416307371802645,23.469897227400196,42.13622624654499,119.31799999999998,119.31799999999998,115.41210118180712,110.17598875743634,108.7065962935799,103.65737187726322,102.89441917942057,-3.905898818192867,-5.2361124243707735,-1.4693924638564368,-5.04922441631669,-0.7629526978426497,-16.423580820579417
AND,Andorra,Europe & Central Asia,High income,4.224932733821807,4.224932733821807,4.29710513110631,5.082003626504343,5.358187282714802,5.819145617080288,6.159527594315303,0.0721723972845032,0.7848984953980329,0.2761836562104589,0.46095833436548617,0.3403819772350154,1.9345948604934966,4.224932733821807,4.224932733821807,4.0369593375896375,3.9341334270584567,3.779661289828668,3.6998193817317975,3.606631669775151,-0.18797339623216924,-0.10282591053118084,-0.1544721372297886,-0.07984190809687064,-0.09318771195664644,-0.6183010640466557
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,923.183,923.183,1013.181912981438,1160.0030223348754,1240.0472499143712,1332.775085710481,1576.3666906645376,89.99891298143802,146.82110935343735,80.04422757949578,92.72783579610996,243.5916049540565,653.1836906645376,923.183,923.183,889.4058598528375,858.9092037931405,820.19239631726,801.0423309096485,793.9353176643907,-33.77714014716253,-30.49665605969699,-38.7168074758805,-19.150065407611464,-7.107013245257804,-129.24768233560928
ARG,Argentina,Latin America & Caribbean,Upper middle income,1410.892,1410.892,1615.163721125748,1787.1006156864862,1817.294425683148,1984.7506742085627,2089.897372406409,204.27172112574794,171.9368945607382,30.193809996661685,167.45624852541482,105.14669819784626,679.0053724064089,1410.892,1410.892,1421.3588395784982,1433.6017826959526,1460.3625887476671,1486.5889835739274,1527.3388051781706,10.466839578498139,12.242943117454388,26.760806051714553,26.226394826260275,40.74982160424315,116.44680517817051
ARM,Armenia,Europe & Central Asia,Upper middle income,106.207,106.207,90.8467333433776,100.85577805152326,119.09964889442588,126.12761417690966,153.98906206479975,-15.3602666566224,10.009044708145666,18.243870842902624,7.027965282483777,27.861447887890094,47.78206206479976,106.207,106.207,110.7165967690947,114.20724981181009,116.64581085629506,120.38190349374436,123.7014698552234,4.509596769094713,3.4906530427153797,2.4385610444849704,3.7360926374493033,3.3195663614790334,17.4944698552234
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,1.9659999999999984,1.9659999999999984,2.9232624470498267,4.137394458487538,5.462159488444189,6.225922776669077,7.211575868062871,0.9572624470498283,1.2141320114377114,1.3247650299566507,0.7637632882248884,0.985653091393794,5.245575868062873,1.9659999999999984,1.9659999999999984,1.9895773397880736,2.007142397516916,2.040397076219702,2.064168155948596,2.112970662639549,0.02357733978807519,0.017565057728842204,0.03325467870278631,0.023771079728893696,0.048802506690952985,0.1469706626395504
AUS,Australia,East Asia & Pacific,High income,959.068,959.068,1050.0254838437727,1431.4106989487643,1741.155661355275,2016.5999958093464,2364.160518730582,90.9574838437727,381.38521510499163,309.7449624065107,275.4443344540714,347.5605229212358,1405.0925187305822,959.068,959.068,904.0434098971814,879.2285358059635,847.9629112297295,831.2687442309365,817.4250172628925,-55.02459010281859,-24.814874091217916,-31.265624576234018,-16.69416699879298,-13.843726968043939,-141.64298273710745
AUT,Austria,Europe & Central Asia,High income,667.1699999999998,667.1699999999998,678.9170528324636,798.3710162962429,819.0282072194813,866.2351144032127,850.5889808489563,11.747052832463737,119.45396346377936,20.657190923238318,47.20690718373146,-15.64613355425638,183.4189808489565,667.1699999999998,667.1699999999998,667.1407092853693,665.206696184344,668.9399869417837,668.6664486459601,680.0114030205231,-0.029290714630519687,-1.9340131010253572,3.733290757439704,-0.27353829582352773,11.344954374562917,12.841403020523217
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,276.265,276.265,312.07042822701715,438.0091412816783,573.0158945633998,653.5742151955467,788.3964061846774,35.80542822701716,125.93871305466115,135.0067532817215,80.55832063214689,134.82219098913072,512.1314061846774,276.265,276.265,261.17931357648774,252.9892530923747,246.07816409631985,240.5122748897215,238.37183757206785,-15.085686423512243,-8.190060484113047,-6.911088996054843,-5.565889206598342,-2.1404373176536637,-37.89316242793214
BDI,Burundi,Sub-Saharan Africa,Low income,62.846,62.846,138.70289464744522,219.22529115844645,319.6471394388647,386.2857282237563,470.2983542765388,75.85689464744522,80.52239651100123,100.42184828041826,66.63858878489157,84.01262605278254,407.4523542765388,62.846,62.846,64.74899057541144,66.01996446527156,69.17288334139944,71.95097208196586,75.0049768469839,1.9029905754114438,1.270973889860116,3.1529188761278846,2.7780887405664174,3.0540047650180355,12.158976846983897
BEL,Belgium,Europe & Central Asia,High income,583.5,583.5,616.5740017123396,750.7035985656701,828.4556505001785,881.5250919834734,1002.7541693481556,33.07400171233962,134.12959685333044,77.75205193450847,53.069441483294895,121.22907736468221,419.25416934815564,583.5,583.5,587.2148715425095,583.118302553098,587.5834279105551,587.1254330508942,588.8213437991158,3.7148715425095133,-4.09656898941148,4.465125357457055,-0.4579948596608574,1.6959107482215359,5.321343799115766
BEN,Benin,Sub-Saharan Africa,Lower middle income,774.463,774.463,791.3617623446348,655.696588001569,719.6546862197727,690.232320454283,712.4924347621776,16.89876234463486,-135.66517434306581,63.958098218203645,-29.422365765489644,22.260114307894582,-61.97056523782237,774.463,774.463,804.7000152552455,827.3966837104671,862.8135302737534,895.751062704432,935.5412913363436,30.237015255245524,22.696668455221584,35.4168465632863,32.93753243067863,39.790228631911646,161.07829133634368
BFA,Burkina Faso,Sub-Saharan Africa,Low income,775.183,775.183,597.9829243531451,548.8562417487343,688.947328436402,739.6651788489878,849.3345598364851,-177.20007564685488,-49.1266826044108,140.0910866876677,50.71785041258579,109.66938098749733,74.15155983648515,775.183,775.183,775.0386723290299,792.8530236357313,825.124102560184,857.8015772059753,902.3678491787618,-0.1443276709701422,17.814351306701496,32.271078924452695,32.67747464579122,44.56627197278658,127.18484917876185
BGD,Bangladesh,South Asia,Lower middle income,8122.129,8122.129,9200.04512305203,4666.531136661206,6436.265168790105,6624.171129179683,8231.750393489436,1077.9161230520303,-4533.513986390824,1769.7340321288993,187.90596038957756,1607.579264309753,109.62139348943583,8122.129,8122.129,8459.311587806986,8980.150266361341,9343.002719350012,9679.350864732176,9907.071610308756,337.1825878069858,520.8386785543553,362.85245298867085,336.34814538216415,227.72074557658016,1784.9426103087562
BGR,Bulgaria,Europe & Central Asia,High income,470.9,470.9,443.8923985853389,448.0808509898482,429.7932303643275,455.2815800045869,479.5452082296238,-27.007601414661053,4.188452404509292,-18.28762062552073,25.4883496402594,24.26362822503694,8.645208229623847,470.9,470.9,472.5633472033208,473.3768063068748,477.1314504810635,476.9410973837816,481.6047716066706,1.663347203320825,0.8134591035540097,3.754644174188684,-0.19035309728189986,4.663674222889028,10.704771606670647
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,91.831,91.831,109.2584101398598,100.0285006446987,94.66826933440016,102.5167325225639,127.06010670147911,17.427410139859802,-9.22990949516111,-5.360231310298531,7.848463188163734,24.543374178915215,35.22910670147911,91.831,91.831,90.6560703140588,85.71429013846688,80.04517820325015,78.44766067078524,78.44766067078524,-1.1749296859412084,-4.941780175591916,-5.669111935216733,-1.5975175324649058,0.0,-13.383339329214763
BHS,Bahamas,Latin America & Caribbean,High income,5.945999999999999,5.945999999999999,9.17521801585869,11.901189714194048,15.915929472116714,18.56315619738433,21.81702631643317,3.2292180158586907,2.725971698335359,4.014739757922666,2.6472267252676165,3.253870119048841,15.871026316433174,5.945999999999999,5.945999999999999,5.990595382481966,5.90918608082632,5.962988725271545,5.99024716023921,6.06572460486143,0.04459538248196715,-0.08140930165564608,0.05380264444522531,0.027258434967664336,0.07547744462222017,0.11972460486143088
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,233.156,233.156,214.54978267652092,232.99859897504072,225.6811323567454,228.1266824527345,263.0883701913193,-18.606217323479086,18.4488162985198,-7.317466618295327,2.4455500959891197,34.9616877385848,29.932370191319308,233.156,233.156,233.12539476802647,234.8904931252826,237.85242008207797,238.6976175173088,241.2802586742208,-0.030605231973538594,1.7650983572561358,2.9619269567953666,0.8451974352308298,2.58264115691199,8.124258674220783
